device,group_var,group,n,bias,bias_lo,bias_hi,mae,mae_lo,mae_hi,rmse,rmse_lo,rmse_hi
FLIR,Ethnicity,Asian,240,-0.01668227541175599,-0.05488829996321417,0.020160078266476714,0.2405019843862658,0.21584103917194908,0.2661051517635982,0.3160053749180778,0.2806992951516708,0.35014464563909475
FLIR,Ethnicity,Black or African-American,137,-0.07485922104196661,-0.1334353347444399,-0.01849393153822967,0.27672360495855336,0.2373851544746765,0.31956336514726175,0.37440749617024827,0.3159702038600357,0.4311586714600298
FLIR,Ethnicity,Hispanic/Latino,55,0.03850720194218308,-0.027478206932037667,0.10762447610627869,0.2164454961673171,0.17259418862348724,0.25712540508916826,0.26694690891310313,0.21777979307527753,0.3083333482947105
FLIR,Ethnicity,Multiracial,49,0.020505127326600814,-0.07468209050331155,0.11127639155576188,0.24594813646209485,0.1926740228251476,0.31237802398717696,0.32981413634136436,0.23015941632910364,0.4476415418971456
FLIR,Ethnicity,White,474,0.023864191757642615,-0.0037720244560360563,0.05395784578832915,0.24141209134269126,0.22312497950940532,0.260407333690525,0.32103236894746073,0.2942337209053056,0.3492981059684114
FLIR,Gender,Female,576,-0.0018300389958845445,-0.02701545475290526,0.023350731282892775,0.23509499438902384,0.2187471481042146,0.2525339352595463,0.31457143869812276,0.29028701812018015,0.34193607196155934
FLIR,Gender,Male,379,0.003242525907664231,-0.03308727792032951,0.03820607137884543,0.2601640781958539,0.23723387033492413,0.2833385411311826,0.3417847402834059,0.3088910888493542,0.3755659771742604
ICI,Ethnicity,Asian,175,-0.013661779569951835,-0.061454511446325855,0.03452608031406898,0.23903308408065282,0.20796892659335828,0.2709064474720542,0.32355964499502354,0.2764205377721821,0.370610386128858
ICI,Ethnicity,Black or African-American,99,-0.0451854833031581,-0.11787893142110402,0.02127347528644943,0.263927152220151,0.22250309046123712,0.3110601562005608,0.3474341134754054,0.2875228059092396,0.4083060297554203
ICI,Ethnicity,Hispanic/Latino,36,0.01363381912163122,-0.07914209587548704,0.09850485594453362,0.2136926297784526,0.162293977152492,0.26528877128179246,0.26553119784620033,0.20715950059379082,0.32314499055583973
ICI,Ethnicity,Multiracial,33,0.04653637475384273,-0.0307563137694564,0.1322167431462544,0.2103736103887514,0.1709860639400811,0.2549848143757974,0.2457058239805562,0.1963176554042235,0.2938967215703774
ICI,Ethnicity,White,324,0.015322302422378658,-0.01758783604076495,0.046696298401803206,0.23179197399958362,0.21170062895021896,0.2516651980192544,0.30070270905675867,0.27167918196677704,0.3269155870761671
ICI,Gender,Female,396,-0.01203568388129999,-0.04008482445060675,0.015754433176745825,0.22598842037243727,0.20766065555307722,0.2462829802281897,0.2992231906598255,0.2724461351124432,0.3257058651113202
ICI,Gender,Male,271,0.01805498297175938,-0.022792019715120296,0.05591334161096411,0.25167537530310774,0.22747792534642877,0.27644113938709386,0.32510475821317686,0.29195242271943467,0.3604162797064646
